sofifa_id,short_name,primary_position,role_group,overall,club_name,league_name,nationality_name,PTS
212523,Anderson Talisca,CF,FWD,82,Al Nassr,Saudi Abdul L. Jameel League,Brazil,77.7
200949,Lucas Moura,RM,MID,81,Tottenham Hotspur,English Premier League,Brazil,77.7
219733,L. Ajorque,ST,FWD,78,RC Strasbourg Alsace,French Ligue 1,France,77.7
190972,E. Salvio,RM,MID,80,Boca Juniors,Argentina Primera División,Argentina,77.69999999999999
177413,A. Witsel,CDM,MID,83,Borussia Dortmund,German 1. Bundesliga,Belgium,77.65
189053,F. Caputo,ST,FWD,78,U.C. Sampdoria,Italian Serie A,Italy,77.65
230445,Rodolfo Pittaça,ST,FWD,73,Cuiabá,Campeonato Brasileiro Série A,Brazil,77.65
204923,M. Sabitzer,CM,MID,84,FC Bayern München,German 1. Bundesliga,Austria,77.64999999999999
211591,M. Dembélé,ST,FWD,78,Olympique Lyonnais,French Ligue 1,France,77.60000000000001
177388,D. Payet,LW,FWD,80,Olympique de Marseille,French Ligue 1,France,77.6
179516,R. Hennings,ST,FWD,72,Fortuna Düsseldorf,German 2. Bundesliga,Germany,77.6
215333,D. Zapata,ST,FWD,83,Atalanta,Italian Serie A,Colombia,77.5
203895,Pozuelo,CAM,MID,80,Toronto FC,USA Major League Soccer,Spain,77.5
210513,J. Quintero,CAM,MID,79,Shenzhen FC,Chinese Super League,Colombia,77.5
110381,M. Rodríguez,LW,FWD,73,Newell's Old Boys,Argentina Primera División,Argentina,77.5
169214,S. Sinclair,LM,MID,72,Preston North End,English League Championship,England,77.5
195093,Willian José,ST,FWD,77,Real Betis Balompié,Spain Primera Division,Brazil,77.45
224334,M. Acuña,LB,DEF,84,Sevilla FC,Spain Primera Division,Argentina,77.4
224293,Rúben Neves,CM,MID,82,Wolverhampton Wanderers,English Premier League,Portugal,77.4
200454,Paco Alcácer,ST,FWD,81,Villarreal CF,Spain Primera Division,Spain,77.4
215441,S. Guirassy,ST,FWD,77,Stade Rennais FC,French Ligue 1,France,77.4
205431,N. Füllkrug,ST,FWD,76,SV Werder Bremen,German 2. Bundesliga,Germany,77.4
204399,E. Zahavi,ST,FWD,80,PSV,Holland Eredivisie,Israel,77.39999999999999
164878,L. Refaelov,CF,FWD,75,RSC Anderlecht,Belgian Jupiler Pro League,Israel,77.39999999999999
212404,F. Bernardeschi,CAM,MID,79,Juventus,Italian Serie A,Italy,77.35
194845,W. Khazri,ST,FWD,76,AS Saint-Étienne,French Ligue 1,Tunisia,77.35
197083,D. Caligiuri,RM,MID,77,FC Augsburg,German 1. Bundesliga,Italy,77.3
167664,G. Higuaín,ST,FWD,81,Inter Miami CF,USA Major League Soccer,Argentina,77.25
240753,A. Gouiri,ST,FWD,78,OGC Nice,French Ligue 1,France,77.25
169792,J. Rodriguez,ST,FWD,74,Burnley,English Premier League,England,77.25
189596,T. Müller,CAM,MID,87,FC Bayern München,German 1. Bundesliga,Germany,77.2
214350,M. Rangel,ST,FWD,74,Mazatlán Futbol Club,Mexican Liga MX,Colombia,77.19999999999999
186197,G. Kakuta,CAM,MID,78,Racing Club de Lens,French Ligue 1,Congo DR,77.15
179752,Ó. Cardozo,ST,FWD,75,Club Libertad,Paraguayan Primera División,Paraguay,77.15
181291,G. Wijnaldum,CM,MID,84,Paris Saint-Germain,French Ligue 1,Netherlands,77.14999999999999
231443,O. Dembélé,RW,FWD,83,FC Barcelona,Spain Primera Division,France,77.10000000000001
156616,F. Ribéry,CF,FWD,79,US Salernitana 1919,Italian Serie A,France,77.10000000000001
220697,J. Maddison,CAM,MID,82,Leicester City,English Premier League,England,77.1
187607,A. Dzyuba,ST,FWD,78,,,Russia,77.1
230084,L. Nmecha,ST,FWD,74,VfL Wolfsburg,German 1. Bundesliga,Germany,77.1
201942,Roberto Firmino,CF,FWD,85,Liverpool,English Premier League,Brazil,77.05
239207,M. Gómez,ST,FWD,80,Valencia CF,Spain Primera Division,Uruguay,77.05
168542,David Silva,CAM,MID,85,Real Sociedad,Spain Primera Division,Spain,77.0
192883,H. Mkhitaryan,CF,FWD,83,Roma,Italian Serie A,Armenia,77.0
244193,Jovane Cabral,LW,FWD,78,Sporting CP,Portuguese Liga ZON SAGRES,Cape Verde Islands,77.0
208808,Q. Promes,CAM,MID,80,Spartak Moskva,Russian Premier League,Netherlands,76.94999999999999
200529,N. Chadli,LM,MID,76,İstanbul Başakşehir FK,Turkish Süper Lig,Belgium,76.9
225293,H. Diallo,ST,FWD,75,RC Strasbourg Alsace,French Ligue 1,Senegal,76.9
179947,Edgar,ST,FWD,71,Daegu FC,Korean K League 1,Brazil,76.9
233927,Lucas Paquetá,CM,MID,81,Olympique Lyonnais,French Ligue 1,Brazil,76.85
245940,Silas,RM,MID,75,VfB Stuttgart,German 1. Bundesliga,Congo DR,76.85
169416,C. Vela,RW,FWD,83,Los Angeles FC,USA Major League Soccer,Mexico,76.75
192064,Gao Late,ST,FWD,79,Guangzhou FC,Chinese Super League,China PR,76.74999999999999
240690,N. González,ST,FWD,77,Fiorentina,Italian Serie A,Argentina,76.7
191083,P. Mortensen,ST,FWD,72,Aarhus GF,Danish Superliga,Denmark,76.69999999999999
222492,L. Sané,RM,MID,84,FC Bayern München,German 1. Bundesliga,Germany,76.65
187961,Paulinho,CM,MID,83,Al Ahli,Saudi Abdul L. Jameel League,Brazil,76.65
232293,V. Osimhen,ST,FWD,80,Napoli,Italian Serie A,Nigeria,76.65
177326,M. Valbuena,LW,FWD,77,Olympiacos CFP,Greek Super League,France,76.65
189303,Nélson Oliveira,ST,FWD,73,PAOK,Greek Super League,Portugal,76.65
208461,M. de Roon,CDM,MID,82,Atalanta,Italian Serie A,Netherlands,76.64999999999999
179527,L. Rémy,ST,FWD,74,Çaykur Rizespor,Turkish Süper Lig,France,76.64999999999999
243630,J. David,ST,FWD,78,LOSC Lille,French Ligue 1,Canada,76.60000000000001
231447,D. Malen,ST,FWD,80,Borussia Dortmund,German 1. Bundesliga,Netherlands,76.6
186200,F. Borini,LW,FWD,76,Fatih Karagümrük S.K.,Turkish Süper Lig,Italy,76.6
204077,M. Niang,ST,FWD,76,Stade Rennais FC,French Ligue 1,Senegal,76.6
224538,Pedro Nuno,ST,FWD,73,Belenenses SAD,Portuguese Liga ZON SAGRES,Portugal,76.55
211870,D. Nazarov,CAM,MID,68,FC Erzgebirge Aue,German 2. Bundesliga,Azerbaijan,76.55
244621,Vinícius,ST,FWD,77,PSV,Holland Eredivisie,Brazil,76.54999999999998
235790,K. Havertz,CAM,MID,84,Chelsea,English Premier League,Germany,76.5
210463,D. Machís,LM,MID,81,Granada CF,Spain Primera Division,Venezuela,76.5
233866,O. Edouard,ST,FWD,75,Crystal Palace,English Premier League,France,76.5
219496,Simy,ST,FWD,74,US Salernitana 1919,Italian Serie A,Nigeria,76.5
240243,Matheus Cunha,CAM,MID,79,Atlético de Madrid,Spain Primera Division,Brazil,76.45
175254,F. Caicedo,CF,FWD,78,Genoa,Italian Serie A,Ecuador,76.45
227508,Melero,CM,MID,77,Levante Unión Deportiva,Spain Primera Division,Spain,76.45
226377,G. Martínez,CAM,MID,76,Al Nassr,Saudi Abdul L. Jameel League,Argentina,76.45
245652,M. Gueye,ST,FWD,70,KV Oostende,Belgian Jupiler Pro League,Senegal,76.45
143076,A. Gómez,CAM,MID,85,Sevilla FC,Spain Primera Division,Argentina,76.44999999999999
239432,A. Grbic,ST,FWD,70,FC Lorient,French Ligue 1,Austria,76.44999999999999
212096,V. Grifo,LM,MID,79,Sport-Club Freiburg,German 1. Bundesliga,Italy,76.4
206534,P. Bamford,ST,FWD,78,Leeds United,English Premier League,England,76.39999999999999
189509,Thiago,CM,MID,86,Liverpool,English Premier League,Spain,76.35000000000001
180206,M. Pjanić,CM,MID,82,Beşiktaş JK,Turkish Süper Lig,Bosnia and Herzegovina,76.35000000000001
194083,Marco Paixão,ST,FWD,70,Altay SK,Turkish Süper Lig,Portugal,76.35
214615,J. Duque,ST,FWD,68,Atlético Nacional,Colombian Liga Postobón,Colombia,76.35
163050,B. Sharp,ST,FWD,72,Sheffield United,English League Championship,England,76.3
230495,Hélton Celanova,ST,FWD,72,Internacional,Campeonato Brasileiro Série A,Brazil,76.3
206113,S. Gnabry,RM,MID,85,FC Bayern München,German 1. Bundesliga,Germany,76.25
203551,A. Florenzi,RB,DEF,81,AC Milan,Italian Serie A,Italy,76.25
225085,J. Bamba,LM,MID,80,LOSC Lille,French Ligue 1,France,76.25
182945,M. Gradel,LM,MID,76,Demir Grup Sivasspor,Turkish Süper Lig,Côte d'Ivoire,76.25
135190,M. Liendl,CAM,MID,73,RZ Pellets Wolfsberger AC,Austrian Football Bundesliga,Austria,76.25
190362,T. Pukki,ST,FWD,76,Norwich City,English Premier League,Finland,76.2
212886,W. Cyprien,CM,MID,73,FC Nantes,French Ligue 1,France,76.2
253072,D. Núñez,ST,FWD,76,SL Benfica,Portuguese Liga ZON SAGRES,Uruguay,76.15
215061,D. Benedetto,ST,FWD,75,Elche CF,Spain Primera Division,Argentina,76.15
229406,João Novais,CM,MID,73,Aytemiz Alanyaspor,Turkish Süper Lig,Portugal,76.14999999999999
