sofifa_id,short_name,primary_position,overall,club_name,league_name,nationality_name,GPS
212442,José Sá,GK,79,Wolverhampton Wanderers,English Premier League,Portugal,79.85
189690,Guaita,GK,80,Crystal Palace,English Premier League,Spain,79.80000000000001
194333,R. Gikiewicz,GK,79,FC Augsburg,German 1. Bundesliga,Poland,79.80000000000001
230312,Gabri Prestão,GK,79,Internacional,Campeonato Brasileiro Série A,Brazil,79.8
178086,Adán,GK,81,Sporting CP,Portuguese Liga ZON SAGRES,Spain,79.75
220407,M. Dúbravka,GK,81,Newcastle United,English Premier League,Slovakia,79.75
223249,G. Arias,GK,79,Racing Club,Argentina Primera División,Chile,79.69999999999999
205849,E. Andrada,GK,80,CF Monterrey,Mexican Liga MX,Argentina,79.65
235073,G. Kobel,GK,79,Borussia Dortmund,German 1. Bundesliga,Switzerland,79.60000000000001
230204,Héniton Pires,GK,80,Flamengo,Campeonato Brasileiro Série A,Brazil,79.50000000000001
225116,A. Meret,GK,79,Napoli,Italian Serie A,Italy,79.50000000000001
215316,G. Rulli,GK,80,Villarreal CF,Spain Primera Division,Argentina,79.35
182494,F. Muslera,GK,80,Galatasaray SK,Turkish Süper Lig,Uruguay,79.3
227290,M. Dmitrović,GK,80,Sevilla FC,Spain Primera Division,Serbia,79.19999999999999
229909,A. Lunev,GK,78,Bayer 04 Leverkusen,German 1. Bundesliga,Russia,79.19999999999999
228413,E. Audero,GK,78,U.C. Sampdoria,Italian Serie A,Italy,79.15
200726,B. Lecomte,GK,79,Atlético de Madrid,Spain Primera Division,France,79.10000000000001
176772,A. Oukidja,GK,78,FC Metz,French Ligue 1,Algeria,79.0
176919,N. Guzmán,GK,79,Tigres U.A.N.L.,Mexican Liga MX,Argentina,78.95
1179,G. Buffon,GK,80,Parma,Italian Serie B,Italy,78.85000000000001
204234,Edgar Badia,GK,79,Elche CF,Spain Primera Division,Spain,78.75
205409,S. Sosa,GK,78,Club Atlético Independiente,Argentina Primera División,Uruguay,78.75
158121,B. Costil,GK,79,FC Girondins de Bordeaux,French Ligue 1,France,78.55
241727,P. Rajković,GK,78,Stade de Reims,French Ligue 1,Serbia,78.55
213951,Helton Leite,GK,78,SL Benfica,Portuguese Liga ZON SAGRES,Brazil,78.5
200159,S. Ortega,GK,78,DSC Arminia Bielefeld,German 1. Bundesliga,Germany,78.45
180714,Guilherme,GK,77,FC Lokomotiv Moscow,Russian Premier League,Russia,78.4
231691,A. Lafont,GK,78,FC Nantes,French Ligue 1,France,78.30000000000001
190243,M. Hitz,GK,78,Borussia Dortmund,German 1. Bundesliga,Switzerland,78.25
223885,A. Nübel,GK,75,AS Monaco,French Ligue 1,Germany,78.2
223898,P. Bernardoni,GK,77,Angers SCO,French Ligue 1,France,78.10000000000001
215502,B. Drągowski,GK,77,Fiorentina,Italian Serie A,Poland,78.0
234777,Z. Steffen,GK,77,Manchester City,English Premier League,United States,77.95
202789,A. Schwolow,GK,77,Hertha BSC,German 1. Bundesliga,Germany,77.85000000000001
243647,A. Bayındır,GK,77,Fenerbahçe SK,Turkish Süper Lig,Turkey,77.79999999999998
206585,Kepa,GK,79,Chelsea,English Premier League,Spain,77.75
242656,I. Meslier,GK,77,Leeds United,English Premier League,France,77.75
224003,Sergio Herrera,GK,78,CA Osasuna,Spain Primera Division,Spain,77.65
216939,A. Blake,GK,76,Philadelphia Union,USA Major League Soccer,Jamaica,77.6
163155,B. Foster,GK,78,Watford,English Premier League,England,77.55000000000001
49000,A. McGregor,GK,77,Rangers FC,Scottish Premiership,Scotland,77.5
200110,M. Bizot,GK,77,Stade Brestois 29,French Ligue 1,Netherlands,77.4
219522,J. Ledesma,GK,77,Cádiz CF,Spain Primera Division,Argentina,77.35000000000001
170597,T. Krul,GK,77,Norwich City,English Premier League,Netherlands,77.2
234833,F. Müller,GK,77,VfB Stuttgart,German 1. Bundesliga,Germany,77.2
24630,Pepe Reina,GK,78,Lazio,Italian Serie A,Spain,77.15
174543,C. Bravo,GK,78,Real Betis Balompié,Spain Primera Division,Chile,77.15
201325,C. Tătărușanu,GK,77,AC Milan,Italian Serie A,Romania,77.15
189908,Ł. Skorupski,GK,75,Bologna,Italian Serie A,Poland,77.10000000000001
232229,J. Bijlow,GK,77,Feyenoord,Holland Eredivisie,Netherlands,77.05000000000001
206075,S. Johnstone,GK,77,West Bromwich Albion,English League Championship,England,77.05
235183,C. Acevedo,GK,76,Santos Laguna,Mexican Liga MX,Mexico,77.05
223550,J. Omlin,GK,77,Montpellier Hérault SC,French Ligue 1,Switzerland,77.0
244467,O. Kolář,GK,78,SK Slavia Praha,Czech Republic Gambrinus Liga,Czech Republic,76.95
206652,Sergio Rico,GK,77,Paris Saint-Germain,French Ligue 1,Spain,76.95
186098,R. Cota,GK,76,Club León,Mexican Liga MX,Mexico,76.95
199005,M. Ryan,GK,77,Real Sociedad,Spain Primera Division,Australia,76.9
156433,A. Talavera,GK,78,Club Universidad Nacional,Mexican Liga MX,Mexico,76.80000000000001
227275,A. Rossi,GK,77,Boca Juniors,Argentina Primera División,Argentina,76.8
212432,Jo Hyeon Woo,GK,75,Ulsan Hyundai FC,Korean K League 1,Korea Republic,76.75
230328,Pierrino Faria,GK,76,Santos,Campeonato Brasileiro Série A,Brazil,76.7
234102,I. Radu,GK,75,Inter,Italian Serie A,Romania,76.7
203775,L. Karius,GK,75,Liverpool,English Premier League,Germany,76.60000000000001
244316,Luís Maximiano,GK,76,Granada CF,Spain Primera Division,Portugal,76.55
186569,S. Ulreich,GK,75,FC Bayern München,German 1. Bundesliga,Germany,76.55
216065,M. Sportiello,GK,76,Atalanta,Italian Serie A,Italy,76.50000000000001
206003,Y. Mvogo,GK,76,PSV,Holland Eredivisie,Switzerland,76.5
192665,A. Luthe,GK,76,1. FC Union Berlin,German 1. Bundesliga,Germany,76.45
230727,G. Larsonneur,GK,76,Stade Brestois 29,French Ligue 1,France,76.44999999999999
204308,H. Van Crombrugge,GK,76,RSC Anderlecht,Belgian Jupiler Pro League,Belgium,76.4
167959,Marcelo Grohe,GK,76,Al Ittihad,Saudi Abdul L. Jameel League,Brazil,76.35000000000001
198653,M. Silva,GK,75,Club Libertad,Paraguayan Primera División,Uruguay,76.35000000000001
179783,R. Fährmann,GK,74,FC Schalke 04,German 2. Bundesliga,Germany,76.30000000000001
189324,A. McCarthy,GK,75,Southampton,English Premier League,England,76.3
104389,R. Jarstein,GK,76,Hertha BSC,German 1. Bundesliga,Norway,76.25
207683,S. Dioudis,GK,75,Panathinaikos FC,Greek Super League,Greece,76.25
200316,T. Horn,GK,76,1. FC Köln,German 1. Bundesliga,Germany,76.20000000000002
167575,A. Shunin,GK,76,,,Russia,76.19999999999999
205186,P. Gazzaniga,GK,77,Fulham,English League Championship,Argentina,76.10000000000001
222511,E. Unsain,GK,75,Defensa y Justicia,Argentina Primera División,Argentina,76.1
212067,C. Vargas,GK,77,Club Atlas,Mexican Liga MX,Colombia,76.00000000000001
176526,L. Burián,GK,76,Club Atlético Colón,Argentina Primera División,Uruguay,76.0
195668,Joel Robles,GK,76,Real Betis Balompié,Spain Primera Division,Spain,75.95
228789,Robert Sanchéz,GK,76,Brighton & Hove Albion,English Premier League,Spain,75.94999999999999
207557,R. Olsen,GK,76,Sheffield United,English League Championship,Sweden,75.9
193331,K. Darlow,GK,76,Newcastle United,English Premier League,England,75.89999999999999
199493,Diego Mariño,GK,75,Real Sporting de Gijón,Spanish Segunda División,Spain,75.8
199641,M. Sels,GK,77,RC Strasbourg Alsace,French Ligue 1,Belgium,75.75
208375,M. Müller,GK,76,FC Luzern,Swiss Super League,Germany,75.75
193107,Paulo Victor,GK,75,Clube Sport Marítimo,Portuguese Liga ZON SAGRES,Brazil,75.75
146296,Andrés Fernández,GK,76,SD Huesca,Spanish Segunda División,Spain,75.7
199575,Jordi Masip,GK,76,Real Valladolid CF,Spanish Segunda División,Spain,75.7
172203,F. Forster,GK,75,Southampton,English Premier League,England,75.7
214076,N. Vikonis,GK,75,Mazatlán Futbol Club,Mexican Liga MX,Uruguay,75.7
244385,G. Bushchan,GK,75,Dynamo Kyiv,Ukrainian Premier League,Ukraine,75.7
146952,Iván Cuéllar,GK,76,Real Sporting de Gijón,Spanish Segunda División,Spain,75.65
233267,M. Turner,GK,75,New England Revolution,USA Major League Soccer,United States,75.65
201931,Gabriel,GK,75,Lecce,Italian Serie B,Brazil,75.60000000000001
190113,M. Günok,GK,75,Beşiktaş JK,Turkish Süper Lig,Turkey,75.55000000000001
201976,A. Gomis,GK,76,Stade Rennais FC,French Ligue 1,Senegal,75.5
223690,S. Rochet,GK,76,Club Nacional de Football,Uruguayan Primera División,Uruguay,75.5
219244,D. von Ballmoos,GK,76,BSC Young Boys,Swiss Super League,Switzerland,75.4
224348,L. Hoyos,GK,74,Vélez Sarsfield,Argentina Primera División,Argentina,75.4
190459,A. Hansen,GK,74,Rosenborg BK,Norwegian Eliteserien,Norway,75.39999999999999
238033,F. Niță,GK,76,AC Sparta Praha,Czech Republic Gambrinus Liga,Romania,75.35000000000001
202089,L. Mejía,GK,75,Centro Atlético Fénix,Uruguayan Primera División,Panama,75.3
215251,G. Herrera,GK,75,Club Atlético Talleres,Argentina Primera División,Argentina,75.3
224251,R. Zentner,GK,74,1. FSV Mainz 05,German 1. Bundesliga,Germany,75.3
153275,J. Leca,GK,75,Racing Club de Lens,French Ligue 1,France,75.25
207935,M. Dituro,GK,75,RC Celta de Vigo,Spain Primera Division,Argentina,75.20000000000002
146748,Diego López,GK,77,RCD Espanyol de Barcelona,Spain Primera Division,Spain,75.15
169697,D. Randolph,GK,75,West Ham United,English Premier League,Republic of Ireland,75.14999999999999
211738,M. Flekken,GK,75,Sport-Club Freiburg,German 1. Bundesliga,Netherlands,75.14999999999999
226379,M. Díaz,GK,75,Club Atlético Huracán,Argentina Primera División,Argentina,75.10000000000001
201269,F. Rønnow,GK,74,1. FC Union Berlin,German 1. Bundesliga,Denmark,75.10000000000001
172723,A. Begović,GK,76,Everton,English Premier League,Bosnia and Herzegovina,75.05000000000001
194911,Adrián,GK,74,Liverpool,English Premier League,Spain,75.05
240493,A. Paschalakis,GK,72,PAOK,Greek Super League,Greece,75.05
230182,Lucas Mantela,GK,77,Palmeiras,Campeonato Brasileiro Série A,Brazil,75.0
190778,J. Zoet,GK,75,Spezia,Italian Serie A,Netherlands,75.0
230165,Simão Donatinho,GK,75,Sport Club Corinthians Paulista,Campeonato Brasileiro Série A,Brazil,75.0
192129,K. Nordfeldt,GK,75,AIK,Swedish Allsvenskan,Sweden,74.95
262621,G. Mamardashvili,GK,75,Valencia CF,Spain Primera Division,Georgia,74.95
163264,T. Heaton,GK,76,Manchester United,English Premier League,England,74.94999999999999
205878,S. Kapino,GK,73,DSC Arminia Bielefeld,German 1. Bundesliga,Greece,74.94999999999999
244700,Y. Dyupin,GK,74,,,Russia,74.85000000000001
215522,A. Schlager,GK,74,LASK Linz,Austrian Football Bundesliga,Austria,74.8
194904,B. Hamid,GK,75,D.C. United,USA Major League Soccer,United States,74.75
231545,Miguel Silva,GK,74,Clube Sport Marítimo,Portuguese Liga ZON SAGRES,Portugal,74.75
189296,E. Berisha,GK,75,Torino F.C.,Italian Serie A,Albania,74.7
228279,J. Drommel,GK,75,PSV,Holland Eredivisie,Netherlands,74.7
230195,Walexinton,GK,75,Club Athletico Paranaense,Campeonato Brasileiro Série A,Brazil,74.65
206218,P. Nardi,GK,73,FC Lorient,French Ligue 1,France,74.65
233791,A. Maksimenko,GK,74,Spartak Moskva,Russian Premier League,Russia,74.64999999999999
198513,Cláudio Ramos,GK,74,FC Porto,Portuguese Liga ZON SAGRES,Portugal,74.60000000000001
193247,H. Lindner,GK,74,FC Basel 1893,Swiss Super League,Austria,74.55000000000001
190734,G. Makaridze,GK,75,Unión Deportiva Almería,Spanish Segunda División,Georgia,74.55
215123,A. Aguerre,GK,74,Newell's Old Boys,Argentina Primera División,Argentina,74.55
230317,Fred Aníbão,GK,76,Club Athletico Paranaense,Campeonato Brasileiro Série A,Brazil,74.50000000000001
205211,M. Borjan,GK,76,,,Canada,74.5
230318,Nelsildo Reis,GK,76,Ceará Sporting Club,Campeonato Brasileiro Série A,Brazil,74.45
189084,E. Room,GK,74,Columbus Crew,USA Major League Soccer,Curacao,74.45
2147,M. Stekelenburg,GK,76,Ajax,Holland Eredivisie,Netherlands,74.4
216033,J. Broun,GK,74,Rosario Central,Argentina Primera División,Argentina,74.35000000000001
142902,A. Pyatov,GK,75,Shakhtar Donetsk,Ukrainian Premier League,Ukraine,74.35
211101,Rubén Blanco,GK,75,RC Celta de Vigo,Spain Primera Division,Spain,74.3
212406,Jordi,GK,74,FC Paços de Ferreira,Portuguese Liga ZON SAGRES,Brazil,74.20000000000002
163301,J. Orozco,GK,75,Club Tijuana,Mexican Liga MX,Mexico,74.2
211348,S. Dimitrievski,GK,75,Rayo Vallecano,Spain Primera Division,North Macedonia,74.10000000000001
188938,C. Álvarez,GK,74,Real Zaragoza,Spanish Segunda División,Argentina,74.10000000000001
162328,R. Pasveer,GK,75,Ajax,Holland Eredivisie,Netherlands,74.1
225701,P. Gallese,GK,74,Orlando City Soccer Club,USA Major League Soccer,Peru,74.1
216175,C. Stanković,GK,73,AEK Athens,Greek Super League,Austria,74.05
244274,A. Šemper,GK,74,Genoa,Italian Serie A,Croatia,74.0
207998,D. Ward,GK,74,Leicester City,English Premier League,Wales,73.95
215048,J. Burrai,GK,74,Barcelona Sporting Club,Ecuadorian Serie A,Argentina,73.95
215363,L. Montipò,GK,74,Hellas Verona,Italian Serie A,Italy,73.95
233934,A. Ramsdale,GK,74,Arsenal,English Premier League,England,73.95
156437,P. Pentke,GK,73,TSG Hoffenheim,German 1. Bundesliga,Germany,73.94999999999999
199833,L. Unnerstall,GK,74,FC Twente,Holland Eredivisie,Germany,73.9
193786,F. Bardi,GK,73,Bologna,Italian Serie A,Italy,73.9
220932,L. Kalinić,GK,73,Hajduk Split,Croatian Prva HNL,Croatia,73.9
194781,Renan Ribeiro,GK,72,Sporting CP,Portuguese Liga ZON SAGRES,Brazil,73.9
181481,D. Vukovic,GK,74,N.E.C. Nijmegen,Holland Eredivisie,Australia,73.89999999999999
183666,Roberto,GK,73,Real Valladolid CF,Spanish Segunda División,Spain,73.89999999999999
230323,Kaíquão Castro,GK,75,Fluminense,Campeonato Brasileiro Série A,Brazil,73.85000000000001
243952,A. Lunin,GK,74,Real Madrid CF,Spain Primera Division,Ukraine,73.85000000000001
190569,S. Frei,GK,74,Seattle Sounders FC,USA Major League Soccer,United States,73.85
220048,S. Scuffet,GK,72,APOEL Nicosia FC,Cypriot First Division,Italy,73.85
226085,Léo Jardim,GK,74,LOSC Lille,French Ligue 1,Brazil,73.80000000000001
224987,I. Provedel,GK,74,Spezia,Italian Serie A,Italy,73.8
213272,L. Cháves,GK,73,Argentinos Juniors,Argentina Primera División,Argentina,73.75000000000001
177475,T. Sippel,GK,73,Borussia Mönchengladbach,German 1. Bundesliga,Germany,73.75
203042,J. Butland,GK,73,Crystal Palace,English Premier League,England,73.75
209990,R. Strebinger,GK,72,SK Rapid Wien,Austrian Football Bundesliga,Austria,73.75
132740,J. Hansen,GK,74,Aarhus GF,Danish Superliga,Denmark,73.7
199339,M. Riemann,GK,74,VfL Bochum 1848,German 1. Bundesliga,Germany,73.7
156412,J. Corona,GK,75,Cruz Azul,Mexican Liga MX,Mexico,73.65
230173,Nilson Alfarinho,GK,74,São Paulo,Campeonato Brasileiro Série A,Brazil,73.65
182520,M. Männel,GK,73,FC Erzgebirge Aue,German 2. Bundesliga,Germany,73.65
229637,G. Akkan,GK,72,Çaykur Rizespor,Turkish Süper Lig,Turkey,73.65
207926,A. Linde,GK,73,Molde FK,Norwegian Eliteserien,Sweden,73.60000000000001
221912,Kang Hyeon Mu,GK,72,Pohang Steelers,Korean K League 1,Korea Republic,73.60000000000001
230314,Kaíque Mutto,GK,69,RB Bragantino,Campeonato Brasileiro Série A,Brazil,73.60000000000001
239342,H. Koffi,GK,73,Royal Charleroi S.C.,Belgian Jupiler Pro League,Burkina Faso,73.6
225647,M. Campaña,GK,74,Al Batin,Saudi Abdul L. Jameel League,Uruguay,73.55
230320,Victorino Magela,GK,74,Bahia,Campeonato Brasileiro Série A,Brazil,73.55
236515,Álvaro,GK,73,Brentford,English Premier League,Spain,73.55
199568,K. Lamprou,GK,72,PEC Zwolle,Holland Eredivisie,Greece,73.55
230319,André Milazisco,GK,72,São Paulo,Campeonato Brasileiro Série A,Brazil,73.55
220604,Jaume,GK,75,Valencia CF,Spain Primera Division,Spain,73.50000000000001
241769,D. Akpeyi,GK,74,Kaizer Chiefs,South African Premier Division,Nigeria,73.5
214462,I. Arboleda,GK,73,Rayo Vallecano,Spain Primera Division,Colombia,73.5
234577,Diogo Costa,GK,73,FC Porto,Portuguese Liga ZON SAGRES,Portugal,73.5
173857,M. Andújar,GK,73,Estudiantes de La Plata,Argentina Primera División,Argentina,73.45
253272,K. Dawson,GK,75,Club Atlético Peñarol,Uruguayan Primera División,Uruguay,73.4
222514,F. Woodman,GK,74,Newcastle United,English Premier League,England,73.4
222951,M. Rodák,GK,73,Fulham,English League Championship,Slovakia,73.4
189342,C. Pinsoglio,GK,72,Juventus,Italian Serie A,Italy,73.4
193152,Herrerín,GK,75,Al Raed,Saudi Abdul L. Jameel League,Spain,73.35000000000001
198350,D. Bentley,GK,73,Bristol City,English League Championship,England,73.35000000000001
232226,D. Boyko,GK,73,Dynamo Kyiv,Ukrainian Premier League,Ukraine,73.35000000000001
190780,S. Johnson,GK,73,New York City FC,USA Major League Soccer,United States,73.3
216692,S. Torrico,GK,73,San Lorenzo de Almagro,Argentina Primera División,Argentina,73.25
161663,S. Viera,GK,74,Junior FC,Colombian Liga Postobón,Uruguay,73.20000000000002
150724,J. Hart,GK,74,Celtic,Scottish Premiership,England,73.2
263286,A. Mandous,GK,74,SK Slavia Praha,Czech Republic Gambrinus Liga,Czech Republic,73.2
173178,Manolo Reina,GK,73,RCD Mallorca,Spain Primera Division,Spain,73.2
230170,Jaim Abra,GK,73,Associação Chapecoense de Futebol,Campeonato Brasileiro Série A,Brazil,73.2
236033,Dani Cárdenas,GK,72,Levante Unión Deportiva,Spain Primera Division,Spain,73.2
193186,N. Etheridge,GK,72,Birmingham City,English League Championship,Philippines,73.19999999999999
230191,Enzo Marteiro,GK,74,Flamengo,Campeonato Brasileiro Série A,Brazil,73.15
204240,B. Reynet,GK,73,Dijon FCO,French Ligue 2,France,73.15
199909,P. Pervan,GK,74,VfL Wolfsburg,German 1. Bundesliga,Austria,73.1
257439,R. Ofori,GK,74,Orlando Pirates,South African Premier Division,Ghana,73.1
185172,V. Fiorillo,GK,72,US Salernitana 1919,Italian Serie A,Italy,73.05000000000001
242969,N. Baumann,GK,73,FC Lugano,Swiss Super League,Switzerland,73.05
219754,Bruno Varela,GK,72,Vitória de Guimarães,Portuguese Liga ZON SAGRES,Portugal,73.05
226721,G. Alcalá,GK,74,Club Tijuana,Mexican Liga MX,Mexico,73.0
205942,S. Lung,GK,73,Yukatel Kayserispor,Turkish Süper Lig,Romania,73.0
258585,I. Pandur,GK,72,Hellas Verona,Italian Serie A,Croatia,73.0
183497,O. Karnezis,GK,73,LOSC Lille,French Ligue 1,Greece,72.95
204883,B. Samba,GK,73,Nottingham Forest,English League Championship,Congo,72.9
200332,T. Koubek,GK,71,FC Augsburg,German 1. Bundesliga,Czech Republic,72.9
215069,R. Rey,GK,73,Gimnasia y Esgrima La Plata,Argentina Primera División,Argentina,72.89999999999999
150477,R. Salin,GK,73,Stade Rennais FC,French Ligue 1,France,72.85000000000001
228736,W. Faríñez,GK,73,Racing Club de Lens,French Ligue 1,Venezuela,72.85000000000001
228231,A. Aguilar,GK,72,Club Olimpia,Paraguayan Primera División,Paraguay,72.85
183141,Oier,GK,74,RCD Espanyol de Barcelona,Spain Primera Division,Spain,72.80000000000001
219736,E. Horvath,GK,71,Nottingham Forest,English League Championship,United States,72.80000000000001
190120,K. Johnsson,GK,73,F.C. København,Danish Superliga,Sweden,72.8
215132,S. Moyano,GK,73,Unión de Santa Fe,Argentina Primera División,Argentina,72.8
217805,A. Martín Arias,GK,72,Unión La Calera,Chilian Campeonato Nacional,Argentina,72.8
221909,J. Staněk,GK,73,FC Viktoria Plzeň,Czech Republic Gambrinus Liga,Czech Republic,72.70000000000002
220901,David Raya,GK,74,Brentford,English Premier League,Spain,72.7
221610,D. Dibusz,GK,73,Ferencvárosi TC,Hungarian Nemzeti Bajnokság I,Hungary,72.7
219793,T. Didillon,GK,72,KSV Cercle Brugge,Belgian Jupiler Pro League,France,72.69999999999999
186148,R. Zieler,GK,73,Hannover 96,German 2. Bundesliga,Germany,72.65
237525,A. Bodart,GK,73,Standard de Liège,Belgian Jupiler Pro League,Belgium,72.60000000000001
224599,Yan Junling,GK,73,Shanghai Port FC,Chinese Super League,China PR,72.6
223573,Munir,GK,73,Atakaş Hatayspor,Turkish Süper Lig,Morocco,72.55
204092,J. Blaswich,GK,72,Heracles Almelo,Holland Eredivisie,Germany,72.55
170084,W. Hennessey,GK,74,Burnley,English Premier League,Wales,72.5
177644,Kiko Casilla,GK,73,Elche CF,Spain Primera Division,Spain,72.5
214680,G. Gallon,GK,73,ESTAC Troyes,French Ligue 1,France,72.5
250842,J. Graterol,GK,72,América de Cali,Colombian Liga Postobón,Venezuela,72.5
148526,P. Kieszek,GK,73,Wisła Kraków,Polish T-Mobile Ekstraklasa,Poland,72.45
213536,M. Crépeau,GK,73,Vancouver Whitecaps FC,USA Major League Soccer,Canada,72.45
204334,I. Gelios,GK,72,Holstein Kiel,German 2. Bundesliga,Greece,72.45
259166,E. Green,GK,72,AS Saint-Étienne,French Ligue 1,England,72.45
198355,S. Clark,GK,72,Portland Timbers,USA Major League Soccer,United States,72.4
200212,M. Esser,GK,72,VfL Bochum 1848,German 1. Bundesliga,Germany,72.4
230525,João Bruinheira,GK,72,Associação Chapecoense de Futebol,Campeonato Brasileiro Série A,Brazil,72.4
180739,E. Kawashima,GK,73,RC Strasbourg Alsace,French Ligue 1,Japan,72.35000000000001
